2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
2019年09月18日 09小时53分钟48秒 [           main] [ INFO]           vip.xjdai.annotation.test.Demo | 我是初始化
